	Behringher-45		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	-26.06	-96.55	0.17
2.929688	-31.22	-106.23	0.56
4.394531	-18.50	158.36	0.24
5.859375	-13.10	-164.72	0.67
7.324219	-13.79	-167.61	0.39
8.789063	-11.99	173.20	0.82
10.253906	-10.35	170.89	0.82
11.718750	-11.25	146.25	0.90
13.183594	-10.22	135.30	0.79
14.648438	-9.52	121.91	0.72
16.113281	-6.14	135.45	0.32
17.578125	-4.97	109.33	0.84
19.042969	-3.09	97.56	0.84
20.507813	-3.32	97.34	0.88
21.972656	-5.71	91.63	0.89
23.437500	-3.07	85.90	0.96
24.902344	-1.73	86.64	0.96
26.367188	-1.59	85.04	0.88
27.832031	-1.45	70.22	0.91
29.296875	-2.25	66.05	0.89
30.761719	-3.61	64.61	0.87
32.226563	-3.79	54.76	0.89
33.691406	-3.23	51.33	0.87
35.156250	-3.69	54.06	0.97
36.621094	-3.44	55.57	0.99
38.085938	-2.87	56.40	0.99
39.550781	-2.61	55.02	0.99
41.015625	-2.65	53.01	0.99
42.480469	-2.66	51.88	1.00
43.945313	-2.47	50.37	1.00
45.410156	-2.36	48.65	1.00
46.875000	-2.27	47.33	1.00
48.339844	-2.19	46.12	1.00
49.804688	-2.07	44.78	1.00
51.269531	-1.91	43.30	1.00
52.734375	-1.80	41.84	1.00
54.199219	-1.75	40.66	1.00
55.664063	-1.74	39.59	1.00
57.128906	-1.71	38.69	1.00
58.593750	-1.65	37.83	1.00
60.058594	-1.60	37.02	1.00
61.523438	-1.55	36.13	1.00
62.988281	-1.51	35.31	1.00
64.453125	-1.46	34.71	1.00
65.917969	-1.41	34.10	1.00
67.382813	-1.39	33.36	1.00
68.847656	-1.38	32.63	1.00
70.312500	-1.36	31.92	1.00
71.777344	-1.33	31.21	1.00
73.242188	-1.29	30.63	1.00
74.707031	-1.25	30.11	1.00
76.171875	-1.24	29.63	1.00
77.636719	-1.25	29.15	1.00
79.101563	-1.28	28.62	1.00
80.566406	-1.31	28.01	1.00
82.031250	-1.33	27.35	1.00
83.496094	-1.33	26.66	1.00
84.960938	-1.32	25.97	1.00
86.425781	-1.29	25.34	1.00
87.890625	-1.24	24.78	1.00
89.355469	-1.21	24.28	1.00
90.820313	-1.18	23.89	1.00
92.285156	-1.15	23.58	1.00
93.750000	-1.13	23.32	1.00
95.214844	-1.12	23.05	1.00
96.679688	-1.12	22.77	1.00
98.144531	-1.12	22.46	1.00
99.609375	-1.11	22.13	1.00
101.074219	-1.09	21.80	1.00
102.539063	-1.07	21.48	1.00
104.003906	-1.05	21.18	1.00
105.468750	-1.04	20.91	1.00
106.933594	-1.03	20.65	1.00
108.398438	-1.02	20.40	1.00
109.863281	-1.02	20.13	1.00
111.328125	-1.01	19.83	1.00
112.792969	-1.00	19.52	1.00
114.257813	-0.99	19.20	1.00
115.722656	-0.98	18.88	1.00
117.187500	-0.98	18.57	1.00
118.652344	-0.98	18.28	1.00
120.117188	-0.97	18.01	1.00
121.582031	-0.98	17.76	1.00
123.046875	-0.98	17.54	1.00
124.511719	-0.98	17.34	1.00
125.976563	-0.98	17.14	1.00
127.441406	-0.99	16.95	1.00
128.906250	-0.99	16.76	1.00
130.371094	-0.99	16.57	1.00
131.835938	-0.98	16.37	1.00
133.300781	-0.98	16.16	1.00
134.765625	-0.98	15.95	1.00
136.230469	-0.97	15.73	1.00
137.695313	-0.97	15.50	1.00
139.160156	-0.96	15.29	1.00
140.625000	-0.95	15.09	1.00
143.554688	-0.95	14.92	1.00
146.484375	-0.94	14.57	1.00
149.414063	-0.94	14.21	1.00
152.343750	-0.94	13.84	1.00
155.273438	-0.94	13.47	1.00
158.203125	-0.93	13.12	1.00
161.132813	-0.92	12.76	1.00
164.062500	-0.91	12.39	1.00
166.992188	-0.91	12.05	1.00
169.921875	-0.91	11.75	1.00
172.851563	-0.91	11.46	1.00
175.781250	-0.92	11.19	1.00
178.710938	-0.93	10.94	1.00
181.640625	-0.94	10.70	1.00
184.570313	-0.95	10.45	1.00
187.500000	-0.96	10.20	1.00
190.429688	-0.97	9.97	1.00
193.359375	-0.98	9.79	1.00
196.289063	-1.00	9.64	1.00
199.218750	-1.01	9.52	1.00
202.148438	-1.02	9.40	1.00
205.078125	-1.03	9.28	1.00
208.007813	-1.04	9.16	1.00
210.937500	-1.04	9.04	1.00
213.867188	-1.05	8.93	1.00
216.796875	-1.05	8.83	1.00
219.726563	-1.06	8.75	1.00
222.656250	-1.06	8.69	1.00
225.585938	-1.07	8.63	1.00
228.515625	-1.08	8.58	1.00
231.445313	-1.08	8.53	1.00
234.375000	-1.08	8.51	1.00
237.304688	-1.08	8.49	1.00
240.234375	-1.07	8.45	1.00
243.164063	-1.06	8.40	1.00
246.093750	-1.05	8.32	1.00
249.023438	-1.03	8.23	1.00
251.953125	-1.02	8.12	1.00
254.882813	-1.00	7.99	1.00
257.812500	-0.99	7.85	1.00
260.742188	-0.98	7.72	1.00
263.671875	-0.97	7.58	1.00
266.601563	-0.96	7.45	1.00
269.531250	-0.95	7.30	1.00
272.460938	-0.94	7.14	1.00
275.390625	-0.93	6.98	1.00
278.320313	-0.92	6.81	1.00
281.250000	-0.92	6.64	1.00
287.109375	-0.92	6.49	1.00
292.968750	-0.93	6.21	1.00
298.828125	-0.94	5.99	1.00
304.687500	-0.94	5.81	1.00
310.546875	-0.94	5.65	1.00
316.406250	-0.94	5.46	1.00
322.265625	-0.94	5.23	1.00
328.125000	-0.95	4.97	1.00
333.984375	-0.97	4.72	1.00
339.843750	-0.99	4.52	1.00
345.703125	-1.01	4.41	1.00
351.562500	-1.03	4.37	1.00
357.421875	-1.04	4.35	1.00
363.281250	-1.04	4.33	1.00
369.140625	-1.05	4.29	1.00
375.000000	-1.05	4.23	1.00
380.859375	-1.06	4.15	1.00
386.718750	-1.07	4.05	1.00
392.578125	-1.08	3.96	1.00
398.437500	-1.09	3.89	1.00
404.296875	-1.10	3.85	1.00
410.156250	-1.11	3.84	1.00
416.015625	-1.12	3.85	1.00
421.875000	-1.12	3.89	1.00
427.734375	-1.12	3.94	1.00
433.593750	-1.11	3.98	1.00
439.453125	-1.10	4.01	1.00
445.312500	-1.08	4.02	1.00
451.171875	-1.06	3.98	1.00
457.031250	-1.05	3.89	1.00
462.890625	-1.04	3.75	1.00
468.750000	-1.03	3.56	1.00
474.609375	-1.03	3.36	1.00
480.468750	-1.03	3.18	1.00
486.328125	-1.03	3.01	1.00
492.187500	-1.04	2.86	1.00
498.046875	-1.04	2.74	1.00
503.906250	-1.05	2.64	1.00
509.765625	-1.06	2.56	1.00
515.625000	-1.07	2.50	1.00
521.484375	-1.07	2.45	1.00
527.343750	-1.08	2.43	1.00
533.203125	-1.09	2.43	1.00
539.062500	-1.09	2.45	1.00
544.921875	-1.10	2.47	1.00
550.781250	-1.10	2.48	1.00
556.640625	-1.09	2.49	1.00
562.500000	-1.09	2.47	1.00
574.218750	-1.09	2.44	1.00
585.937500	-1.08	2.34	1.00
597.656250	-1.08	2.20	1.00
609.375000	-1.08	2.07	1.00
621.093750	-1.08	1.98	1.00
632.812500	-1.07	1.91	1.00
644.531250	-1.06	1.83	1.00
656.250000	-1.05	1.73	1.00
667.968750	-1.03	1.59	1.00
679.687500	-1.02	1.40	1.00
691.406250	-1.02	1.20	1.00
703.125000	-1.02	0.98	1.00
714.843750	-1.04	0.78	1.00
726.562500	-1.06	0.62	1.00
738.281250	-1.07	0.50	1.00
750.000000	-1.10	0.36	1.00
761.718750	-1.12	0.23	1.00
773.437500	-1.15	0.13	1.00
785.156250	-1.17	0.07	1.00
796.875000	-1.19	0.05	1.00
808.593750	-1.21	0.07	1.00
820.312500	-1.21	0.10	1.00
832.031250	-1.21	0.10	1.00
843.750000	-1.21	0.07	1.00
855.468750	-1.21	-0.00	1.00
867.187500	-1.21	-0.11	1.00
878.906250	-1.22	-0.24	1.00
890.625000	-1.23	-0.35	1.00
902.343750	-1.26	-0.44	1.00
914.062500	-1.29	-0.48	1.00
925.781250	-1.32	-0.46	1.00
937.500000	-1.35	-0.38	1.00
949.218750	-1.37	-0.25	1.00
960.937500	-1.38	-0.10	1.00
972.656250	-1.39	0.05	1.00
984.375000	-1.40	0.20	1.00
996.093750	-1.40	0.34	1.00
1007.812500	-1.39	0.46	1.00
1019.531250	-1.39	0.57	1.00
1031.250000	-1.38	0.66	1.00
1042.968750	-1.37	0.75	1.00
1054.687500	-1.36	0.83	1.00
1066.406250	-1.34	0.90	1.00
1078.125000	-1.32	0.96	1.00
1089.843750	-1.30	1.00	1.00
1101.562500	-1.27	1.02	1.00
1113.281250	-1.24	1.02	1.00
1125.000000	-1.21	1.00	1.00
1148.437500	-1.19	0.93	1.00
1171.875000	-1.13	0.62	1.00
1195.312500	-1.10	0.08	1.00
1218.750000	-1.10	-0.50	1.00
1242.187500	-1.15	-0.97	1.00
1265.625000	-1.22	-1.27	1.00
1289.062500	-1.31	-1.36	1.00
1312.500000	-1.39	-1.30	1.00
1335.937500	-1.46	-1.11	1.00
1359.375000	-1.52	-0.85	1.00
1382.812500	-1.58	-0.53	1.00
1406.250000	-1.62	-0.14	1.00
1429.687500	-1.65	0.30	1.00
1453.125000	-1.67	0.75	1.00
1476.562500	-1.68	1.18	1.00
1500.000000	-1.67	1.58	1.00
1523.437500	-1.66	1.89	1.00
1546.875000	-1.65	2.10	1.00
1570.312500	-1.63	2.25	1.00
1593.750000	-1.63	2.35	1.00
1617.187500	-1.62	2.45	1.00
1640.625000	-1.62	2.55	1.00
1664.062500	-1.63	2.67	1.00
1687.500000	-1.63	2.83	1.00
1710.937500	-1.64	3.05	1.00
1734.375000	-1.64	3.30	1.00
1757.812500	-1.63	3.55	1.00
1781.250000	-1.62	3.78	1.00
1804.687500	-1.61	3.99	1.00
1828.125000	-1.61	4.19	1.00
1851.562500	-1.60	4.38	1.00
1875.000000	-1.60	4.58	1.00
1898.437500	-1.60	4.80	1.00
1921.875000	-1.61	5.02	1.00
1945.312500	-1.61	5.25	1.00
1968.750000	-1.60	5.46	1.00
1992.187500	-1.60	5.65	1.00
2015.625000	-1.59	5.83	1.00
2039.062500	-1.59	6.01	1.00
2062.500000	-1.59	6.22	1.00
2085.937500	-1.58	6.47	1.00
2109.375000	-1.56	6.72	1.00
2132.812500	-1.54	6.94	1.00
2156.250000	-1.52	7.09	1.00
2179.687500	-1.51	7.19	1.00
2203.125000	-1.51	7.28	1.00
2226.562500	-1.52	7.40	1.00
2250.000000	-1.54	7.58	1.00
2296.875000	-1.55	7.80	1.00
2343.750000	-1.56	8.42	1.00
2390.625000	-1.55	9.12	1.00
2437.500000	-1.52	10.00	1.00
2484.375000	-1.45	10.87	1.00
2531.250000	-1.33	11.35	1.00
2578.125000	-1.23	11.54	1.00
2625.000000	-1.14	11.58	1.00
2671.875000	-1.06	11.47	1.00
2718.750000	-1.03	11.19	1.00
2765.625000	-1.05	10.94	1.00
2812.500000	-1.09	10.87	1.00
2859.375000	-1.13	10.91	1.00
2906.250000	-1.19	11.01	1.00
2953.125000	-1.26	11.27	1.00
3000.000000	-1.31	11.69	1.00
3046.875000	-1.36	12.20	1.00
3093.750000	-1.41	12.82	1.00
3140.625000	-1.44	13.58	1.00
3187.500000	-1.45	14.40	1.00
3234.375000	-1.44	15.22	1.00
3281.250000	-1.42	16.06	1.00
3328.125000	-1.37	16.91	1.00
3375.000000	-1.29	17.66	1.00
3421.875000	-1.20	18.29	1.00
3468.750000	-1.10	18.79	1.00
3515.625000	-0.99	19.16	1.00
3562.500000	-0.89	19.39	1.00
3609.375000	-0.80	19.52	1.00
3656.250000	-0.72	19.58	1.00
3703.125000	-0.67	19.57	1.00
3750.000000	-0.64	19.50	1.00
3796.875000	-0.64	19.48	1.00
3843.750000	-0.64	19.55	1.00
3890.625000	-0.66	19.74	1.00
3937.500000	-0.68	20.10	1.00
3984.375000	-0.70	20.63	1.00
4031.250000	-0.71	21.31	1.00
4078.125000	-0.71	22.14	1.00
4125.000000	-0.68	23.11	1.00
4171.875000	-0.62	24.17	0.99
4218.750000	-0.52	25.22	1.00
4265.625000	-0.38	26.14	1.00
4312.500000	-0.21	26.84	1.00
4359.375000	-0.00	27.26	0.99
4406.250000	0.21	27.36	0.99
4453.125000	0.41	27.16	1.00
4500.000000	0.59	26.72	1.00
4593.750000	0.71	26.10	0.99
4687.500000	0.85	24.47	0.99
4781.250000	0.85	23.11	0.99
4875.000000	0.77	22.60	1.00
4968.750000	0.69	22.95	1.00
5062.500000	0.68	23.82	0.99
5156.250000	0.74	24.77	0.99
5250.000000	0.87	25.45	0.99
5343.750000	1.02	25.67	0.99
5437.500000	1.15	25.52	1.00
5531.250000	1.26	25.30	1.00
5625.000000	1.35	25.17	0.99
5718.750000	1.43	25.16	0.99
5812.500000	1.52	25.20	1.00
5906.250000	1.64	25.13	1.00
6000.000000	1.77	24.83	1.00
6093.750000	1.90	24.28	0.99
6187.500000	2.00	23.60	1.00
6281.250000	2.06	22.91	1.00
6375.000000	2.08	22.31	1.00
6468.750000	2.07	21.80	1.00
6562.500000	2.05	21.42	1.00
6656.250000	2.02	21.24	1.00
6750.000000	1.99	21.26	0.99
6843.750000	1.98	21.42	1.00
6937.500000	1.99	21.64	1.00
7031.250000	2.00	21.89	1.00
7125.000000	2.03	22.08	0.99
7218.750000	2.07	22.15	1.00
7312.500000	2.12	22.10	1.00
7406.250000	2.17	21.93	1.00
7500.000000	2.22	21.67	1.00
7593.750000	2.27	21.34	0.99
7687.500000	2.32	21.01	0.99
7781.250000	2.36	20.73	0.99
7875.000000	2.39	20.55	0.99
7968.750000	2.41	20.46	1.00
8062.500000	2.44	20.45	1.00
8156.250000	2.47	20.49	1.00
8250.000000	2.52	20.52	0.99
8343.750000	2.58	20.48	1.00
8437.500000	2.64	20.32	1.00
8531.250000	2.70	20.02	1.00
8625.000000	2.74	19.59	1.00
8718.750000	2.76	19.08	1.00
8812.500000	2.76	18.55	1.00
8906.250000	2.74	18.07	1.00
9000.000000	2.70	17.72	1.00
9187.500000	2.65	17.52	1.00
9375.000000	2.56	17.41	1.00
9562.500000	2.52	17.51	1.00
9750.000000	2.55	17.48	1.00
9937.500000	2.61	17.01	1.00
10125.000000	2.62	16.26	1.00
10312.500000	2.57	15.58	1.00
